pid,url,title,petitioner,suburb,close_date,signatures,status,active_transport_any,cycling,pedestrian,traffic_calming,speed_limit,pedestrian_crossing,road_safety,active_transport_general,parking,traffic_congestion,road_upgrade,public_transport,parks_green_space,trees_vegetation,flooding_drainage,development_planning,community_facilities,dogs_animals,noise_amenity,petition_body_excerpt,council_response_excerpt
1016,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1016,"Proposed development at 447 Gregory Terrace, Spring Hill",Melissa Botha,Spring Hill,"Sun, 11 Apr 2021",335,closed,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,"Residents draw to the attention of Brisbane City Council the development applications for 447 Gregory Terrace, Spring Hill (Development Application Number: A005608964). The application seeks to a demolish the adjacent Energex building (A005679852) and erect a 15-story residential complex in its place, as well as a 15-story hotel, in the parking lot, currently separating The Brisbane Lady Gowrie Ch","Council notes the following concerns you have raised in the petition. The health and safety consequences of eliminating natural light to neighbouring properties, including a childcare centre and elderly residents of the Avalon Parkside residential apartments at 451 Gregory Terrace. The health and sa"
1017,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1017,Protect the environment by expediting the development of sustainable mountain bike singletrack in more locations as the best way to stop unauthorised trails,Dan Crawford,Tarragindi,"Wed, 30 Jun 2021",1743,closed,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,"We draw attention to the broad community support for off-road cycling in Brisbane, and specifically Mountain Biking - a healthy sport growing in popularity with kids, families and people across all age groups with riders often active into their 60s and 70s. Kids can’t drive to trails and many people want to leave the car at home and ride to the trails. This is not possible with a single central lo","Council acknowledges that there is a growing demand for off-road cycling facilities in parks and natural areas across Brisbane and South East Queensland. Therefore, Council has commenced the Brisbane Off-Road Cycling project (the project) to plan for off-road cycling opportunities and facilities wit"
1018,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1018,SAY NO to a DOLA in James Warner Park,Loretta Whyte,Brisbane,"Mon, 12 Apr 2021",163,closed,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,"Residents draw to the attention of the Brisbane City Council and the Lord Mayor, to NOT approve or proceed with the proposed DOLA at James Warner Park. This would mean resuming much of an existing small, community park regularly used as a quiet, shaded and safe play area by many picnickers and local families with small children. The park also supports its own riverside eco-system including mangrov",Councillor Jonathan Sri recently sought community feedback to choose between two locations (James Warner Park and C.T. White Park) for a proposed new DOLA to be funded through the Suburban Enhancement Fund (SEF) allocation for The Gabba Ward. The SEF is allocated by the Lord Mayor in Council’s annua
1019,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1019,Make Shand St safe for pedestrians and cyclists,Louise Symon,Stafford,"Tue, 27 Apr 2021",140,closed,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,"Residents draw to the attention of the section of Shand Street, between Sheehy Street and Brennan Street, where there is no safe crossing for pedestrians or cyclists, particularly during peak hour. During peak hour vehicles block both intersections stopping traffic exiting or entering both streets. Drivers are taking risks turning across oncoming traffic turning from Shand Street into Sheehy and B","A review of the existing crossing facilities on Shand Street, near Sheehy Street and Brennan Street, has been undertaken and officers from Council’s Transport Planning and Operations, Traffic Network Operations, have determined that the pedestrian refuges located to the south of the intersection of "
1020,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1020,Fund and Build Algoori Street Crossing to connect to Beverley Street in Morningside,Councillor Kara Cook,Bulimba,"Mon, 03 May 2021",80,closed,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,"Residents draw to the attention of the Mayor and Council that designs have been prepared for a culvert crossing project on Algoori Street, Morningside. The culvert would provide a new low-level culvert crossing at the Algoori Street Road reserve including associated path connections, that would connect Algoori Street across Perrin Creek to Beverley Street to provide improved accessibility for pede","Council is investigating a potential new low-level culvert crossing at Algoori Street and associated path connections between Junction Road and Beverley Street. The proposed crossing will enhance usability for people walking, riding bicycles and using e-mobility devices, to create a high quality and"
1021,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1021,"Yes to footpath dining in Bay Tce, Wynnum CBD",Ellen Mc Donogh,Wynnum,"Sat, 17 Apr 2021",369,closed,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"The MIT Technology Review revealed four Urban Conditions that create Vibrant City Life of which one is as follows: ""... the team found that a crucial factor for vibrancy is the presence of ... bars, restaurants, places of worship, shopping malls, parks, and so on - places where people can gather and socialize"". The new footpath widening (in Bay Tce) in front of the Fat Duck allows for several larg","The two car parking spaces on Bay Terrace are located in a precinct known as the Wynnum Central Business District (CBD). Your request for Council to approve the removal of two car parking spaces near the intersection of Bay Terrace and Charlotte Street, has been noted. Currently, the two car parking"
1022,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1022,"Traffic Calming Prince and King Street, Annerley",Anna Golkowski,Annerley,"Fri, 16 Apr 2021",57,closed,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"There has been a noticeable increased amount of traffic on Prince Street and King Street - with more cars on the roads and people using shortcuts to get on the Motorway or Ipswich Road. Unfortunately, a lot of the time these cars are driving very fast and with a small child and dogs this concerns me. The petitioners therefore request traffic calming devices to be installed on Prince Street and Kin","Your request for traffic calming measures on Prince Street and King Street has been noted. The installation of traffic calming devices, such as speed platforms and chicanes, is used to discourage use from non-local traffic and to moderate vehicle speeds, providing a safer environment for all road us"
1023,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1023,Prevent long term anchoring in Brisbane River to keep Brisbane river open to all recreational users,Melissa Grainger,Fig Tree Pocket,"Mon, 27 Sep 2021",49,closed,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Long term anchoring in quieter stretches of the brisbane river is increasing. Instead of paying for mooring rates or keeping boats at marinas some boat owners are relying on the lack of laws to save money for themselves by permanently leaving their boats in the Brisbane River. The more popular choices are stiller places in the river. These places are where recreational users also like to go. The p,Thank you for your petition requesting Council prevent long-term anchoring in the Brisbane River. Your request for Council to prevent long-term anchoring in the Brisbane River is noted. Council is currently responsible for the management of boat moorings at Gardens Point Boat Harbour and Breakfast C
1024,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1024,"PARKS, NOT CAR PARKS: Keep the Enoggera Creek precinct green and open for recreation",Coleen Glenwright,Wilston,"Mon, 26 Apr 2021",1311,closed,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,"Under its Draft Enoggera Creek Sport and Recreation Plan, Brisbane City Council has proposed sweeping changes to the quiet residential neighbourhoods of Windsor, Wilston, Newmarket, Herston and Kelvin Grove – all announced without any direct consultation with the local community. We understand the vital role sport and recreation plays in our community, and Council's ambition to ensure facilities a","Together with funding support from the Australian Government, Council has been working with the community since 2018 to develop a shared vision for the future of sport and recreation at Enoggera Creek to guide future use and development of one of Brisbane’s largest sport and recreation precincts. Th"
1025,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1025,Brisbane Softball Association's Opposition to the Enoggera Creek Sport and Recreation Plan,Ellen Hayward,Windsor,"Fri, 30 Apr 2021",2269,closed,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,"Statement of Purpose: We call upon our softball community members – local, state, interstate and overseas – and the local community to support Brisbane Softball Association (BSA) in its opposition to the proposed Brisbane City Council (BCC) draft Enoggera Creek Sport and Recreation Plan (draft plan), through the signing of this e-Petition to help us to stay in our spiritual home of over 60 year at","Council is proud to have Queensland’s premier women’s softball organisation homed in Brisbane, and values the historical significance and continued importance of Downey Park as a women’s sporting precinct. Together with funding support from the Australian Government, Council has been working with th"
